ANO,MES,ESTADO,REGIAO,CONSUMO_T
2003,ABR,DISTRITO FEDERAL,CENTRO-OESTE,48445
2003,MAI,RONDÔNIA,NORTE,14431
2003,MAI,ACRE,NORTE,2546
2003,MAI,AMAZONAS,NORTE,32919
2003,MAI,RORAIMA,NORTE,6786
2003,MAI,PARÁ,NORTE,83445
2003,MAI,AMAPÁ,NORTE,5267
2003,MAI,TOCANTINS,NORTE,18728
2003,MAI,MARANHÃO,NORDESTE,30203
2003,MAI,PIAUÍ,NORDESTE,17765
2003,MAI,CEARÁ,NORDESTE,65334
2003,MAI,RIO GRANDE DO NORTE,NORDESTE,33606
2003,MAI,PARAÍBA,NORDESTE,31613
2003,MAI,PERNAMBUCO,NORDESTE,80217
2003,MAI,ALAGOAS,NORDESTE,25171
2003,MAI,SERGIPE,NORDESTE,19962
2003,MAI,BAHIA,NORDESTE,137331
2003,MAI,MINAS GERAIS,SUDESTE,312455
2003,MAI,ESPÍRITO SANTO,SUDESTE,52576
2003,MAI,RIO DE JANEIRO,SUDESTE,256535
2003,MAI,SÃO PAULO,SUDESTE,841400
2003,MAI,PARANÁ,SUL,185597
2003,MAI,SANTA CATARINA,SUL,150523
2003,MAI,RIO GRANDE DO SUL,SUL,184331
2003,MAI,MATO GROSSO,CENTRO-OESTE,56246
2003,MAI,MATO GROSSO DO SUL,CENTRO-OESTE,36066
2003,MAI,GOIÁS,CENTRO-OESTE,112540
2003,MAI,DISTRITO FEDERAL,CENTRO-OESTE,51436
2003,JUN,RONDÔNIA,NORTE,12653
2003,JUN,ACRE,NORTE,3040
2003,JUN,AMAZONAS,NORTE,32198
2003,JUN,RORAIMA,NORTE,5555
2003,JUN,PARÁ,NORTE,82978
2003,JUN,AMAPÁ,NORTE,5539
2003,JUN,TOCANTINS,NORTE,18887
2003,JUN,MARANHÃO,NORDESTE,37590
2003,JUN,PIAUÍ,NORDESTE,17561
2003,JUN,CEARÁ,NORDESTE,64323
2003,JUN,RIO GRANDE DO NORTE,NORDESTE,28825
2003,JUN,PARAÍBA,NORDESTE,26158
2003,JUN,PERNAMBUCO,NORDESTE,67240
2003,JUN,ALAGOAS,NORDESTE,22645
2003,JUN,SERGIPE,NORDESTE,16202
2003,JUN,BAHIA,NORDESTE,118680
2003,JUN,MINAS GERAIS,SUDESTE,299651
2003,JUN,ESPÍRITO SANTO,SUDESTE,51603
2003,JUN,RIO DE JANEIRO,SUDESTE,243236
2003,JUN,SÃO PAULO,SUDESTE,757875
2003,JUN,PARANÁ,SUL,169008
2003,JUN,SANTA CATARINA,SUL,128735
2003,JUN,RIO GRANDE DO SUL,SUL,160740
2003,JUN,MATO GROSSO,CENTRO-OESTE,56126
2003,JUN,MATO GROSSO DO SUL,CENTRO-OESTE,35697
2003,JUN,GOIÁS,CENTRO-OESTE,109189
2003,JUN,DISTRITO FEDERAL,CENTRO-OESTE,51884
2003,JUL,RONDÔNIA,NORTE,15269
2003,JUL,ACRE,NORTE,4963
2003,JUL,AMAZONAS,NORTE,37274
2003,JUL,RORAIMA,NORTE,5060
2003,JUL,PARÁ,NORTE,93037
2003,JUL,AMAPÁ,NORTE,7714
2003,JUL,TOCANTINS,NORTE,20089
2003,JUL,MARANHÃO,NORDESTE,42741
2003,JUL,PIAUÍ,NORDESTE,21260
2003,JUL,CEARÁ,NORDESTE,80404
2003,JUL,RIO GRANDE DO NORTE,NORDESTE,35809
2003,JUL,PARAÍBA,NORDESTE,32996
2003,JUL,PERNAMBUCO,NORDESTE,83181
2003,JUL,ALAGOAS,NORDESTE,24689
2003,JUL,SERGIPE,NORDESTE,20057
2003,JUL,BAHIA,NORDESTE,131291
2003,JUL,MINAS GERAIS,SUDESTE,340885
2003,JUL,ESPÍRITO SANTO,SUDESTE,57260
2003,JUL,RIO DE JANEIRO,SUDESTE,269774
2003,JUL,SÃO PAULO,SUDESTE,857128
2003,JUL,PARANÁ,SUL,191857
2003,JUL,SANTA CATARINA,SUL,154768
2003,JUL,RIO GRANDE DO SUL,SUL,175805
2003,JUL,MATO GROSSO,CENTRO-OESTE,66358
2003,JUL,MATO GROSSO DO SUL,CENTRO-OESTE,40248
2003,JUL,GOIÁS,CENTRO-OESTE,118633
2003,JUL,DISTRITO FEDERAL,CENTRO-OESTE,57034
2003,AGO,RONDÔNIA,NORTE,18397
2003,AGO,ACRE,NORTE,2924
2003,AGO,AMAZONAS,NORTE,37605
2003,AGO,RORAIMA,NORTE,5241
2003,AGO,PARÁ,NORTE,89827
2003,AGO,AMAPÁ,NORTE,7740
2003,AGO,TOCANTINS,NORTE,22678
2003,AGO,MARANHÃO,NORDESTE,42427
2003,AGO,PIAUÍ,NORDESTE,20367
2003,AGO,CEARÁ,NORDESTE,78620
2003,AGO,RIO GRANDE DO NORTE,NORDESTE,34046
2003,AGO,PARAÍBA,NORDESTE,31318
2003,AGO,PERNAMBUCO,NORDESTE,82075
2003,AGO,ALAGOAS,NORDESTE,23364
2003,AGO,SERGIPE,NORDESTE,19484
2003,AGO,BAHIA,NORDESTE,131406
2003,AGO,MINAS GERAIS,SUDESTE,322275
2003,AGO,ESPÍRITO SANTO,SUDESTE,54309
2003,AGO,RIO DE JANEIRO,SUDESTE,243189
2003,AGO,SÃO PAULO,SUDESTE,785016
2003,AGO,PARANÁ,SUL,180591
2003,AGO,SANTA CATARINA,SUL,142558
2003,AGO,RIO GRANDE DO SUL,SUL,179478
2003,AGO,MATO GROSSO,CENTRO-OESTE,63712
2003,AGO,MATO GROSSO DO SUL,CENTRO-OESTE,36262
2003,AGO,GOIÁS,CENTRO-OESTE,115594
2003,AGO,DISTRITO FEDERAL,CENTRO-OESTE,52525
2003,SET,RONDÔNIA,NORTE,22262
2003,SET,ACRE,NORTE,5276
2003,SET,AMAZONAS,NORTE,38386
2003,SET,RORAIMA,NORTE,4794
2003,SET,PARÁ,NORTE,93270
2003,SET,AMAPÁ,NORTE,6882
2003,SET,TOCANTINS,NORTE,24584
2003,SET,MARANHÃO,NORDESTE,42993
2003,SET,PIAUÍ,NORDESTE,21737
2003,SET,CEARÁ,NORDESTE,79494
2003,SET,RIO GRANDE DO NORTE,NORDESTE,34492
2003,SET,PARAÍBA,NORDESTE,34517
2003,SET,PERNAMBUCO,NORDESTE,85846
2003,SET,ALAGOAS,NORDESTE,26382
2003,SET,SERGIPE,NORDESTE,21679
2003,SET,BAHIA,NORDESTE,147495
2003,SET,MINAS GERAIS,SUDESTE,345219
2003,SET,ESPÍRITO SANTO,SUDESTE,56559
2003,SET,RIO DE JANEIRO,SUDESTE,264695
2003,SET,SÃO PAULO,SUDESTE,827220
2003,SET,PARANÁ,SUL,176074
2003,SET,SANTA CATARINA,SUL,144182
2003,SET,RIO GRANDE DO SUL,SUL,177581
2003,SET,MATO GROSSO,CENTRO-OESTE,66987
2003,SET,MATO GROSSO DO SUL,CENTRO-OESTE,34630
2003,SET,GOIÁS,CENTRO-OESTE,122029
2003,SET,DISTRITO FEDERAL,CENTRO-OESTE,55603
2003,OUT,RONDÔNIA,NORTE,18333
2003,OUT,ACRE,NORTE,5262
2003,OUT,AMAZONAS,NORTE,39519
2003,OUT,RORAIMA,NORTE,5781
2003,OUT,PARÁ,NORTE,100670
2003,OUT,AMAPÁ,NORTE,7066
2003,OUT,TOCANTINS,NORTE,26564
2003,OUT,MARANHÃO,NORDESTE,51235
2003,OUT,PIAUÍ,NORDESTE,23881
2003,OUT,CEARÁ,NORDESTE,85605
